Brand,Range,Fast Charging L3,Mileage,Performance,Seats,Exterior color,Interior color,Charging type,Battery warranty,VIN,Year,Battery size,URL,Title,Price
Ford,37 mi,N/A,2 mi,163 HP,Up to 5,Star White Metallic Tri-Coat,Space Gray,N/A,N/A,1FMCU0E18RUA98795,2024,14.4 kWh,https://ev.com/vehicle/sdp82q,2024FordEscapePHEV,"$41,007"
Ford,37 mi,N/A,3 mi,163 HP,Up to 5,Rapid Red Metallic Tinted Clearcoat,Space Gray,N/A,N/A,1FMCU0E17RUB48666,2024,14.4 kWh,https://ev.com/vehicle/3fe1yk,2024FordEscapePHEV,"$34,620"
Ford,37 mi,N/A,2 mi,163 HP,Up to 5,Star White Metallic Tri-Coat,Ebony,N/A,N/A,1FMCU0E16RUB49968,2024,14.4 kWh,https://ev.com/vehicle/9fyit7,2024FordEscapePHEV,"$41,009"
Ford,37 mi,N/A,3 mi,163 HP,Up to 5,Carbonized Gray Metallic,Ebony,N/A,N/A,1FMCU0E12RUB51832,2024,14.4 kWh,https://ev.com/vehicle/1imk80,2024FordEscapePHEV,"$34,176"
Ford,37 mi,N/A,2 mi,163 HP,Up to 5,Agate Black Metallic,Ebony,N/A,N/A,1FMCU0E12RUA16995,2024,14.4 kWh,https://ev.com/vehicle/pugukk,2024FordEscapePHEV,"$40,114"
Ford,37 mi,N/A,24 mi,163 HP,Up to 5,Iconic Silver Metallic,Ebony,N/A,N/A,1FMCU0E17RUA49426,2024,14.4 kWh,https://ev.com/vehicle/ucuyyx,2024FordEscapePHEV,"$40,111"
Ford,37 mi,N/A,2 mi,163 HP,Up to 5,Star White Metallic Tri-Coat,Ebony,N/A,N/A,1FMCU0E17RUB13772,2024,14.4 kWh,https://ev.com/vehicle/erjk5u,2024FordEscapePHEV,"$41,008"
Ford,37 mi,N/A,47 mi,163 HP,Up to 5,N/A,N/A,N/A,N/A,1FMCU0E1XRUA50389,2024,14.4 kWh,https://ev.com/vehicle/6yfl6x,2024FordEscapePHEV,"$37,805"
Ford,37 mi,N/A,11 mi,163 HP,Up to 5,N/A,N/A,N/A,N/A,1FMCU0E16SUA29755,2025,14.4 kWh,https://ev.com/vehicle/xk5hrz,2025FordEscapePHEV,"$31,600"
Ford,37 mi,N/A,2 mi,163 HP,Up to 5,Star White Metallic Tri-Coat,Ebony,N/A,N/A,1FMCU0E10SUA35079,2025,14.4 kWh,https://ev.com/vehicle/diax7b,2025FordEscapePHEV,"$37,833"
Ford,37 mi,N/A,2 mi,163 HP,Up to 5,Vapor Blue Metallic,Ebony,N/A,N/A,1FMCU0E17SUA34592,2025,14.4 kWh,https://ev.com/vehicle/gffsp9,2025FordEscapePHEV,"$32,343"
Ford,37 mi,N/A,2 mi,163 HP,Up to 5,Carbonized Gray Metallic,Ebony,N/A,N/A,1FMCU0E16SUA52338,2025,14.4 kWh,https://ev.com/vehicle/8u020s,2025FordEscapePHEV,"$31,443"
Ford,37 mi,N/A,15 mi,163 HP,Up to 5,N/A,N/A,N/A,N/A,1FMCU0E16SUA49097,2025,14.4 kWh,https://ev.com/vehicle/39redz,2025FordEscapePHEV,"$31,090"
Ford,37 mi,N/A,14 mi,163 HP,Up to 5,N/A,N/A,N/A,N/A,1FMCU0E1XSUA68218,2025,14.4 kWh,https://ev.com/vehicle/4mcb4c,2025FordEscapePHEV,"$32,143"
Ford,37 mi,N/A,12 mi,163 HP,Up to 5,N/A,N/A,N/A,N/A,1FMCU0E16SUA67731,2025,14.4 kWh,https://ev.com/vehicle/ec1u6q,2025FordEscapePHEV,"$38,284"
Ford,37 mi,N/A,14 mi,163 HP,Up to 5,N/A,N/A,N/A,N/A,1FMCU0E16SUA51464,2025,14.4 kWh,https://ev.com/vehicle/siwymr,2025FordEscapePHEV,"$36,710"
Ford,37 mi,N/A,2 mi,163 HP,Up to 5,Vapor Blue Metallic,Space Gray,N/A,N/A,1FMCU0E15SUA45428,2025,14.4 kWh,https://ev.com/vehicle/a2yukf,2025FordEscapePHEV,"$36,409"
Ford,37 mi,N/A,11 mi,163 HP,Up to 5,N/A,N/A,N/A,N/A,1FMCU0E18SUA69321,2025,14.4 kWh,https://ev.com/vehicle/7wd7yq,2025FordEscapePHEV,"$31,600"
Ford,37 mi,N/A,12 mi,163 HP,Up to 5,N/A,N/A,N/A,N/A,1FMCU0E12SUA68827,2025,14.4 kWh,https://ev.com/vehicle/n52v6e,2025FordEscapePHEV,"$37,823"
Ford,37 mi,N/A,10 mi,163 HP,Up to 5,N/A,N/A,N/A,N/A,1FMCU0E10SUA81236,2025,14.4 kWh,https://ev.com/vehicle/za8mxc,2025FordEscapePHEV,"$32,341"
Ford,37 mi,N/A,66 mi,163 HP,Up to 5,Black,Ebony,N/A,N/A,1FMCU0E17SUA24077,2025,14.4 kWh,https://ev.com/vehicle/2qs3g4,2025FordEscapePHEV,"$29,464"
Ford,37 mi,N/A,66 mi,163 HP,Up to 5,Blue,Ebony,N/A,N/A,1FMCU0E13SUA36419,2025,14.4 kWh,https://ev.com/vehicle/8evwim,2025FordEscapePHEV,"$29,464"
Ford,37 mi,N/A,5 mi,163 HP,Up to 5,Blue,Space Gray,N/A,N/A,1FMCU0E18SUA77788,2025,14.4 kWh,https://ev.com/vehicle/neig4t,2025FordEscapePHEV,"$29,942"
Ford,37 mi,N/A,5 mi,163 HP,Up to 5,White,Ebony,N/A,N/A,1FMCU0E15SUA08234,2025,14.4 kWh,https://ev.com/vehicle/xenzw9,2025FordEscapePHEV,"$28,996"
Ford,37 mi,N/A,5 mi,163 HP,Up to 5,White,Ebony,N/A,N/A,1FMCU0E14SUA30080,2025,14.4 kWh,https://ev.com/vehicle/4562h1,2025FordEscapePHEV,"$29,176"
Ford,37 mi,N/A,5 mi,163 HP,Up to 5,White,Ebony,N/A,N/A,1FMCU0E16SUA28654,2025,14.4 kWh,https://ev.com/vehicle/wtaz48,2025FordEscapePHEV,"$29,118"
Ford,37 mi,N/A,5 mi,163 HP,Up to 5,White,Ebony,N/A,N/A,1FMCU0E18SUA55919,2025,14.4 kWh,https://ev.com/vehicle/yesa8p,2025FordEscapePHEV,"$31,357"
