Model,Year,Price
A4 Prestige 45 TFSI S line quattro S tronic,2024,40152.0
A4 S line Premium Plus,2022,22500.0
A4 Season of Audi Premium,2017,14995.0
A4 allroad 45 Premium Plus,2023,48991.0
A5 2.0T Premium,2014,13950.0
A5 2.0T Premium Plus,2013,13985.0
A5 2.0T Premium Plus,2014,13995.0
A5 2.0T Premium Plus,2016,14900.0
A5 2.0T Premium Plus,2018,19480.0
A5 Sportback 45 S Line Premium,2023,36942.0
A5 Sportback 45 S Line Premium,2024,41524.333333333336
A5 Sportback 45 S Line Premium Plus,2022,38991.0
A5 Sportback 45 S Line Premium Plus,2023,37542.333333333336
A5 Sportback 45 S Line Premium Plus,2024,38663.5
A5 Sportback 45 S Line Premium Plus,2025,50900.0
A5 Sportback 45 S Line Prestige,2024,48570.0
A5 Sportback Premium,2024,42098.5
A5 Sportback Premium Plus,2023,39952.0
A5 Sportback Prestige,2024,45846.5
A5 Sportback S line Premium Plus,2023,32995.0
A6 2.0T Premium,2018,22991.0
A6 2.0T Premium Plus,2016,14513.0
A6 2.0T Premium Plus,2017,9600.0
A6 2.0T Premium Plus,2018,18985.0
A6 2.0T Premium quattro,2013,10995.0
A6 3.0T Premium Plus,2015,16375.0
A6 3.0T Prestige Quattro,2015,18300.0
A6 3.0T Prestige Quattro,2016,17777.0
A6 3.0T Prestige Quattro,2017,19991.0
A6 45 Premium,2019,22337.0
A6 45 Sport Premium,2021,28888.0
A6 45 Sport Premium Plus,2021,28382.0
A6 55 Premium,2021,32749.0
A6 55 Premium Plus,2019,21985.0
A6 55 Prestige,2019,32869.0
A6 Prestige,2021,41998.0
A7 3.0T Premium Plus,2017,23913.0
A7 3.0T Premium Plus,2018,27450.0
A7 3.0T Premium Plus,2019,29269.0
A7 3.0T Prestige,2017,21490.0
A7 3.0T Prestige,2018,29950.0
A7 55 Premium,2021,35995.0
A7 Prestige,2012,13495.0
A8 *W12* *Executive Rear Seat Package* *Pano-Roof* *Rare Find*,2015,44900.0
A8 L 3.0T,2015,26995.0
A8 L 4.0T,2015,13985.0
A8 L 60,2020,37925.0
A8 L 60,2021,54195.0
AMG C 43 4MATIC,2017,28549.0
AMG C 43 4MATIC,2024,59991.0
AMG C 43 Base 4MATIC,2017,29775.0
AMG C S,2016,38991.0
AMG CLA 35 4MATIC,2024,49994.0
AMG CLA 35 Base,2025,49957.0
AMG CLS 53 4MATIC,2020,42991.0
AMG E 43 4MATIC,2018,32588.0
AMG E S 4MATIC,2016,36980.0
AMG EQE 4MATIC+,2023,65980.0
AMG EQS 4MATIC+,2023,74980.0
AMG G 63 *AMG G63* *Designo Night Black Magno*,2021,148900.0
AMG G 63 4MATIC,2020,134997.0
AMG G 63 4MATIC,2021,169800.0
AMG G 63 4MATIC,2022,165854.0
AMG G 63 4MATIC,2023,189800.0
AMG G 63 4MATIC,2024,204728.0
AMG G 63 Base,2020,128115.0
AMG GLA 35 4MATIC,2025,53471.5
AMG GLA 35 Base,2025,54249.0
AMG GLA 45 Base 4MATIC,2019,34980.0
AMG GLB 35,2021,39998.0
AMG GLB 35 4MATIC,2021,34434.0
AMG GLB 35 4MATIC,2025,57256.666666666664
AMG GLC 43 4MATIC,2019,27287.0
AMG GLC 43 4MATIC,2021,42228.333333333336
AMG GLC 43 4MATIC,2024,69800.0
AMG GLC 43 4MATIC Coupe,2021,42791.0
AMG GLC 43 Base 4MATIC,2017,32950.0
AMG GLC 63 4MATIC,2020,43995.0
AMG GLC 63 4MATIC+ Coupe,2021,60500.0
AMG GLE 43 Base 4MATIC,2019,42155.0
AMG GLE 53 4MATIC+,2024,73400.0
AMG GLE 53 4MATIC+ Coupe,2021,65349.666666666664
AMG GLE 53 4MATIC+ Coupe,2022,73985.0
AMG GLE 53 4MATIC+ Coupe,2023,74991.0
AMG GLE 53 Base,2024,87888.0
AMG GLE 63 S 4MATIC+,2019,69995.0
AMG GLE 63 S 4MATIC+,2023,93800.0
AMG GLE AMG GLE 63 S Coupe 4MATIC,2016,37995.0
AMG GLS 63 Base,2024,121980.0
AMG GT 43 4-Door,2021,64888.0
AMG GT 43 4-Door,2022,74999.0
AMG GT 43 Base,2021,64589.0
AMG GT 53 4-Door,2019,55179.0
AMG GT 53 4-Door,2021,69991.0
AMG GT 53 4-Door,2022,77492.0
AMG GT 53 4-Door,2023,99999.0
AMG S 63 E S 63 E AMG,2024,187777.0
AMG SL AMG SL 63,2016,79800.0
AMG SLC 43 Base,2017,28888.0
ARIYA ENGAGE,2023,24742.0
ARIYA ENGAGE+,2024,27695.0
ARIYA EVOLVE+,2023,26169.5
ARIYA EVOLVE+ e-4ORCE AWD,2023,27979.0
ARIYA PLATINUM+,2023,27227.75
ATS 2.0L Turbo,2014,9995.0
ATS 2.0L Turbo,2015,17888.0
ATS 2.0L Turbo,2017,12980.0
ATS 2.0L Turbo Luxury,2017,15472.5
ATS 2.0L Turbo Luxury,2018,20900.0
ATS 3.6L Luxury,2016,13591.0
ATS 3.6L Premium Luxury,2017,17900.0
ATS 3.6L Premium Luxury,2018,16695.0
ATS Luxury,2016,16998.0
ATS Luxury,2017,19998.0
Acadia AWD AT4,2023,36959.666666666664
Acadia AWD Elevation,2025,48000.0
Acadia AWD SLE,2021,25485.0
Acadia AWD SLE,2022,31950.0
Acadia AWD SLE,2023,32249.0
Acadia AWD SLT,2020,21779.0
Acadia AWD SLT,2022,30775.0
Acadia AWD SLT,2023,31001.4
Acadia Denali,2015,9950.0
Acadia Denali,2016,14329.333333333334
Acadia Denali,2017,14995.0
Acadia Denali,2019,23396.0
Acadia Denali,2020,29997.0
Acadia Denali,2021,31325.0
Acadia Denali,2022,33197.5
Acadia Denali,2023,36500.0
Acadia FWD SLE,2020,21548.0
Acadia FWD SLE,2021,19733.5
Acadia FWD SLE,2022,26491.0
Acadia FWD SLE,2023,29318.5
Acadia FWD SLT,2020,19737.0
Acadia FWD SLT,2023,27456.333333333332
Acadia Limited FWD 4DR LIMITED,2017,16990.0
Acadia Limited Limited,2017,12488.0
Acadia SLE,2011,6999.0
Acadia SLE,2021,23315.0
Acadia SLE,2023,31877.0
Acadia SLE-1,2016,9786.5
Acadia SLE-1,2018,15809.333333333334
Acadia SLE-1,2019,14120.0
Acadia SLE-2,2014,11199.0
Acadia SLE-2,2017,14958.5
Acadia SLE-2,2018,18913.5
Acadia SLE-2,2019,19604.75
Acadia SLT,2021,28500.0
Acadia SLT,2022,30988.0
Acadia SLT,2023,29688.0
Acadia SLT-1,2010,6995.0
Acadia SLT-1,2012,5500.0
Acadia SLT-1,2017,17442.666666666668
Acadia SLT-1,2018,18680.2
Acadia SLT-1,2019,10999.0
Accent GS,2013,5995.0
Accent Limited,2019,13599.0
Accent SE,2017,6995.0
Accent SE,2019,8995.0
Accent SE,2020,13999.0
Accent SE,2021,14281.666666666666
Accent SE,2022,16991.0
Accent SEL,2020,14497.0
Accent SEL,2021,17339.0
